               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,             0.01716,           0.0099123,            0.010616,             0.77749,             0.80492,             0.89266,             0.79782,            0.016073,            0.005252,             0.01292,           0.0063432,           0.0063432,           0.0063432
                  90,            0.017521,           0.0098999,             0.01507,             0.78343,             0.78452,             0.86779,             0.77909,            0.015817,           0.0052505,            0.012861,           0.0062737,           0.0062737,           0.0062737
                  91,             0.01939,            0.010723,            0.016504,             0.81965,             0.83223,             0.89701,             0.79473,            0.016618,           0.0053779,           0.0047897,            0.006204,            0.006204,            0.006204
                  92,             0.01791,            0.010103,            0.016743,             0.71293,             0.86022,             0.88223,              0.7863,            0.016426,            0.005542,           0.0093043,           0.0061341,           0.0061341,           0.0061341
                  93,            0.019508,            0.010553,            0.015868,             0.64413,             0.80913,             0.79905,             0.71137,            0.016689,            0.005501,           0.0082025,            0.006064,            0.006064,            0.006064
                  94,            0.020402,            0.010418,            0.013525,             0.71029,             0.81229,             0.81948,             0.73061,            0.015749,           0.0054591,           0.0072721,           0.0059938,           0.0059938,           0.0059938
                  95,            0.018853,            0.010352,            0.013146,             0.77595,             0.79784,              0.8762,             0.78727,            0.014818,           0.0050524,            0.012021,           0.0059235,           0.0059235,           0.0059235
                  96,            0.019608,            0.011091,            0.011186,             0.75565,             0.83768,             0.87324,             0.78263,            0.014482,           0.0048818,            0.014668,           0.0058531,           0.0058531,           0.0058531
                  97,            0.017253,           0.0099353,            0.014448,              0.8496,             0.80669,             0.88829,              0.8003,            0.014783,            0.005458,             0.00775,           0.0057826,           0.0057826,           0.0057826
                  98,            0.017048,            0.010315,            0.013614,             0.78848,             0.84699,             0.87981,             0.79573,            0.014813,           0.0052684,           0.0076563,            0.005712,            0.005712,            0.005712
                  99,             0.01661,            0.010139,            0.012998,             0.77364,               0.809,             0.88062,             0.79485,            0.015044,           0.0053787,            0.011733,           0.0056413,           0.0056413,           0.0056413
                 100,            0.016811,            0.009988,            0.011527,             0.85629,             0.75587,             0.87557,             0.79653,            0.015613,           0.0055393,           0.0062882,           0.0055707,           0.0055707,           0.0055707
                 101,            0.017227,           0.0098112,            0.011748,             0.78683,              0.8634,             0.90037,             0.81232,            0.014938,           0.0049934,           0.0072357,              0.0055,              0.0055,              0.0055
                 102,            0.017455,           0.0095364,            0.012074,             0.81005,             0.83025,             0.91143,             0.82744,            0.015598,           0.0051468,           0.0049996,           0.0054293,           0.0054293,           0.0054293
                 103,            0.019481,            0.010182,            0.011196,             0.78835,             0.87479,             0.90923,             0.82907,            0.016125,           0.0053462,           0.0037481,           0.0053587,           0.0053587,           0.0053587
                 104,            0.017018,           0.0096739,            0.011453,             0.89042,             0.74562,             0.89897,             0.81645,            0.015113,           0.0051703,           0.0044179,            0.005288,            0.005288,            0.005288
                 105,            0.016858,            0.010044,            0.010897,             0.75245,             0.88481,             0.89822,             0.81153,            0.014655,            0.005255,           0.0051417,           0.0052174,           0.0052174,           0.0052174
                 106,            0.018098,            0.010268,            0.011088,             0.75961,             0.83795,             0.88797,             0.79223,            0.015202,           0.0048478,           0.0084725,           0.0051469,           0.0051469,           0.0051469
                 107,            0.016445,           0.0099655,            0.010526,             0.79835,             0.82497,             0.90915,             0.82116,            0.014901,           0.0050364,           0.0062455,           0.0050765,           0.0050765,           0.0050765
                 108,             0.01553,           0.0092559,            0.013785,             0.85129,             0.82959,             0.91435,              0.8281,            0.014224,           0.0049502,           0.0037796,           0.0050062,           0.0050062,           0.0050062
                 109,            0.015008,            0.009465,            0.012171,             0.84822,             0.83745,             0.91685,             0.82905,            0.014831,           0.0047428,           0.0043079,            0.004936,            0.004936,            0.004936
                 110,            0.017314,           0.0097891,           0.0099697,             0.82559,             0.87137,             0.89516,              0.8182,            0.014514,           0.0046712,           0.0054707,           0.0048659,           0.0048659,           0.0048659
